County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Kings_ 2018 Q1 Court,635,Kings, 2018 Q1 Court,530,258,98,204,6,25,221,23,39,37,Kings,Keith Fagundes,0,1,1,1,0,,333,29.42942943,61.26126126,7.507507508,1.801801802
Kings_ 2018 Q2 Court,636,Kings, 2018 Q2 Court,539,322,116,112,5,21,290,21,27,32,Kings,Keith Fagundes,0,1,1,1,0,,254,45.66929134,44.09448819,8.267716535,1.968503937
Kings_ 2018 Q3 Court,637,Kings, 2018 Q3 Court,613,276,132,165,10,38,281,30,51,55,Kings,Keith Fagundes,0,1,1,1,1,,345,38.26086957,47.82608696,11.01449275,2.898550725
Kings_ 2018 Q4 Court,638,Kings, 2018 Q4 Court,583,234,133,117,11,37,240,24,52,38,Kings,Keith Fagundes,0,1,1,1,1,,298,44.63087248,39.26174497,12.41610738,3.691275168
Kings_ 2019 Q1 Court,639,Kings, 2019 Q1 Court,605,213,144,121,3,28,211,27,58,52,Kings,Keith Fagundes,0,0,NA,NA,0,,296,48.64864865,40.87837838,9.459459459,1.013513514
Kings_ 2019 Q2 Court,640,Kings, 2019 Q2 Court,693,266,136,132,6,25,156,20,63,53,Kings,Keith Fagundes,0,0,NA,NA,0,,299,45.48494983,44.14715719,8.361204013,2.006688963
Kings_ 2019 Q3 Court,641,Kings, 2019 Q3 Court,651,249,193,135,6,29,162,37,56,40,Kings,Keith Fagundes,0,0,NA,NA,0,,363,53.16804408,37.19008264,7.988980716,1.652892562
Kings_ 2019 Q4 Court,642,Kings, 2019 Q4 Court,530,264,190,101,6,32,125,24,52,40,Kings,Keith Fagundes,0,0,NA,NA,0,,329,57.75075988,30.69908815,9.726443769,1.823708207
Kings_ 2020 Q1 Court,643,Kings, 2020 Q1 Court,635,280,168,113,5,30,125,19,63,35,Kings,Keith Fagundes,0,0,NA,NA,0,,316,53.16455696,35.75949367,9.493670886,1.582278481
Kings_ 2020 Q2 Court,644,Kings, 2020 Q2 Court,798,270,97,56,1,13,100,18,37,10,Kings,Keith Fagundes,0,0,NA,NA,0,,167,58.08383234,33.53293413,7.784431138,0.598802395
Kings_ 2020 Q3 Court,645,Kings, 2020 Q3 Court,660,444,202,88,7,8,105,12,60,19,Kings,Keith Fagundes,0,0,NA,NA,0,,305,66.2295082,28.85245902,2.62295082,2.295081967
Kings_ 2020 Q4 Court,646,Kings, 2020 Q4 Court,512,409,184,100,1,21,118,10,46,31,Kings,Keith Fagundes,0,0,NA,NA,0,,306,60.13071895,32.67973856,6.862745098,0.326797386
Kings_ 2021 Q1 Court,647,Kings, 2021 Q1 Court,556,432,142,83,2,8,73,6,34,35,Kings,Keith Fagundes,0,0,NA,NA,0,,235,60.42553191,35.31914894,3.404255319,0.85106383
Kings_ 2021 Q2 Court,648,Kings, 2021 Q2 Court,522,452,218,126,2,14,85,25,47,27,Kings,Keith Fagundes,0,0,NA,NA,0,,360,60.55555556,35,3.888888889,0.555555556
Kings_ 2021 Q3 Court,649,Kings, 2021 Q3 Court,570,447,220,125,1,26,89,11,46,23,Kings,Keith Fagundes,0,0,NA,NA,0,,372,59.13978495,33.60215054,6.989247312,0.268817204
Kings_ 2021 Q4 Court,650,Kings, 2021 Q4 Court,418,326,148,84,6,17,73,11,42,30,Kings,Keith Fagundes,0,0,NA,NA,0,,255,58.03921569,32.94117647,6.666666667,2.352941176
Kings_ 2022 Q1 Court,651,Kings, 2022 Q1 Court,404,403,182,107,2,21,72,9,31,30,Kings,Keith Fagundes,0,0,NA,1,0,,312,58.33333333,34.29487179,6.730769231,0.641025641
Kings_ 2022 Q2 Court,652,Kings, 2022 Q2 Court,473,371,190,115,5,34,96,13,29,26,Kings,Keith Fagundes,0,0,NA,1,0,,344,55.23255814,33.43023256,9.88372093,1.453488372
Kings_ 2022 Q3 Court,653,Kings, 2022 Q3 Court,435,369,145,152,2,14,105,17,55,49,Kings,Keith Fagundes,0,0,NA,1,1,,313,46.32587859,48.56230032,4.47284345,0.638977636
Kings_ 2022 Q4 Court,654,Kings, 2022 Q4 Court,433,338,155,121,7,21,97,11,28,40,Kings,Keith Fagundes,0,0,NA,1,1,,304,50.98684211,39.80263158,6.907894737,2.302631579
Kings_ 2023 Q1 Court,655,Kings, 2023 Q1 Court,342,350,150,105,11,21,99,13,33,34,Kings,Sarah Hacker,0,NA,NA,NA,0,,287,52.26480836,36.58536585,7.317073171,3.832752613
Lake_ 2013 Q1 Court,656,Lake, 2013 Q1 Court,220,42,21,47,15,1,0,0,12,NA,,,0,NA,NA,NA,0,,84,25,55.95238095,1.19047619,17.85714286
Lake_ 2013 Q2 Court,657,Lake, 2013 Q2 Court,256,62,38,63,22,0,62,1,14,0,,,0,NA,NA,NA,0,,123,30.89430894,51.2195122,0,17.88617886
Lake_ 2013 Q3 Court,658,Lake, 2013 Q3 Court,284,47,41,85,16,0,65,0,7,1,,,0,NA,NA,NA,0,,142,28.87323944,59.85915493,0,11.26760563
Lake_ 2013 Q4 Court,659,Lake, 2013 Q4 Court,288,59,34,68,20,0,74,1,13,2,,,0,NA,NA,NA,0,,122,27.86885246,55.73770492,0,16.39344262
Lake_ 2014 Q1 Court,660,Lake, 2014 Q1 Court,268,62,22,74,23,0,76,0,12,6,,,0,NA,NA,NA,0,,119,18.48739496,62.18487395,0,19.32773109
Lake_ 2014 Q2 Court,661,Lake, 2014 Q2 Court,316,62,38,85,26,0,49,0,10,7,,,0,NA,NA,NA,0,,149,25.5033557,57.04697987,0,17.44966443
Lake_ 2014 Q3 Court,662,Lake, 2014 Q3 Court,215,41,25,84,23,0,56,0,14,12,,,0,NA,NA,NA,0,,132,18.93939394,63.63636364,0,17.42424242
Lake_ 2014 Q4 Court,663,Lake, 2014 Q4 Court,242,46,27,39,13,0,22,0,5,5,,,0,NA,NA,NA,0,,79,34.17721519,49.36708861,0,16.4556962
Lake_ 2015 Q1 Court,664,Lake, 2015 Q1 Court,193,49,25,48,8,2,33,0,13,2,,,0,NA,NA,NA,0,,83,30.12048193,57.8313253,2.409638554,9.638554217
Lake_ 2015 Q2 Court,665,Lake, 2015 Q2 Court,245,58,35,60,8,2,48,1,11,3,,,0,NA,NA,NA,0,,105,33.33333333,57.14285714,1.904761905,7.619047619
Lake_ 2015 Q3 Court,666,Lake, 2015 Q3 Court,193,50,35,52,2,5,51,2,12,8,,,0,NA,NA,NA,0,,94,37.23404255,55.31914894,5.319148936,2.127659574
Lake_ 2015 Q4 Court,667,Lake, 2015 Q4 Court,212,54,36,48,4,4,41,0,13,4,,,0,NA,NA,NA,0,,92,39.13043478,52.17391304,4.347826087,4.347826087
Lake_ 2016 Q1 Court,668,Lake, 2016 Q1 Court,168,40,30,54,7,2,43,1,9,2,,,0,NA,NA,NA,0,,93,32.25806452,58.06451613,2.150537634,7.52688172
Lake_ 2016 Q2 Court,669,Lake, 2016 Q2 Court,212,27,42,42,2,2,67,0,20,4,,,0,NA,NA,NA,0,,88,47.72727273,47.72727273,2.272727273,2.272727273
Lake_ 2016 Q3 Court,670,Lake, 2016 Q3 Court,284,41,40,41,5,4,27,0,9,3,,,0,NA,NA,NA,0,,90,44.44444444,45.55555556,4.444444444,5.555555556
Lake_ 2016 Q4 Court,671,Lake, 2016 Q4 Court,242,41,35,58,2,5,35,4,13,1,,,0,NA,NA,NA,0,,100,35,58,5,2
Lake_ 2017 Q1 Court,672,Lake, 2017 Q1 Court,186,53,33,59,4,11,43,2,17,1,,,0,NA,NA,NA,0,,107,30.8411215,55.14018692,10.28037383,3.738317757
Lake_ 2017 Q2 Court,673,Lake, 2017 Q2 Court,228,37,47,46,4,8,47,2,18,2,,,0,NA,NA,NA,0,,105,44.76190476,43.80952381,7.619047619,3.80952381
Lake_ 2017 Q3 Court,674,Lake, 2017 Q3 Court,230,51,58,59,2,13,33,1,9,2,,,0,NA,NA,NA,0,,132,43.93939394,44.6969697,9.848484848,1.515151515
Lake_ 2017 Q4 Court,675,Lake, 2017 Q4 Court,251,27,39,45,4,7,41,0,17,3,,,0,NA,NA,NA,0,,95,41.05263158,47.36842105,7.368421053,4.210526316
Lake_ 2018 Q1 Court,676,Lake, 2018 Q1 Court,235,45,32,71,3,9,44,1,17,6,,,0,NA,NA,1,0,,115,27.82608696,61.73913043,7.826086957,2.608695652
Lake_ 2018 Q2 Court,677,Lake, 2018 Q2 Court,239,67,37,65,4,17,69,1,8,4,,,0,NA,NA,1,0,,123,30.08130081,52.84552846,13.82113821,3.25203252
Lake_ 2019 Q1 Court,680,Lake, 2019 Q1 Court,186,57,24,66,4,10,50,1,13,12,Lake,Susan Krones,0,1,1,1,0,,104,23.07692308,63.46153846,9.615384615,3.846153846
Lake_ 2019 Q2 Court,681,Lake, 2019 Q2 Court,181,62,27,41,9,5,32,2,18,17,Lake,Susan Krones,0,1,1,1,0,,82,32.92682927,50,6.097560976,10.97560976
Lake_ 2019 Q3 Court,682,Lake, 2019 Q3 Court,260,66,47,41,8,15,47,3,23,18,Lake,Susan Krones,0,1,1,1,0,,111,42.34234234,36.93693694,13.51351351,7.207207207
Lake_ 2019 Q4 Court,683,Lake, 2019 Q4 Court,197,68,39,57,9,11,25,0,11,9,Lake,Susan Krones,0,1,1,1,0,,116,33.62068966,49.13793103,9.482758621,7.75862069
Lake_ 2020 Q1 Court,684,Lake, 2020 Q1 Court,200,53,35,38,5,5,38,1,10,8,Lake,Susan Krones,0,1,1,1,0,,83,42.1686747,45.78313253,6.024096386,6.024096386
Lake_ 2020 Q2 Court,685,Lake, 2020 Q2 Court,251,20,17,12,2,3,14,0,4,5,Lake,Susan Krones,0,1,1,1,0,,34,50,35.29411765,8.823529412,5.882352941
Lake_ 2020 Q3 Court,686,Lake, 2020 Q3 Court,155,63,20,35,3,0,27,1,13,1,Lake,Susan Krones,0,1,1,1,0,,58,34.48275862,60.34482759,0,5.172413793
Lake_ 2020 Q4 Court,687,Lake, 2020 Q4 Court,183,56,17,32,1,5,40,1,13,8,Lake,Susan Krones,0,1,1,1,0,,55,30.90909091,58.18181818,9.090909091,1.818181818
Lake_ 2021 Q1 Court,688,Lake, 2021 Q1 Court,199,91,14,33,0,6,18,2,8,6,Lake,Susan Krones,0,1,1,1,0,,53,26.41509434,62.26415094,11.32075472,0
Lake_ 2021 Q2 Court,689,Lake, 2021 Q2 Court,234,96,20,47,0,3,22,0,1,6,Lake,Susan Krones,0,1,1,1,0,,70,28.57142857,67.14285714,4.285714286,0
Lake_ 2021 Q3 Court,690,Lake, 2021 Q3 Court,213,125,15,40,0,1,36,3,5,6,Lake,Susan Krones,0,1,1,1,0,,56,26.78571429,71.42857143,1.785714286,0
Lake_ 2021 Q4 Court,691,Lake, 2021 Q4 Court,166,97,36,51,2,6,27,0,6,5,Lake,Susan Krones,0,1,1,1,0,,95,37.89473684,53.68421053,6.315789474,2.105263158
Lake_ 2022 Q1 Court,692,Lake, 2022 Q1 Court,208,118,36,52,0,6,12,0,6,5,Lake,Susan Krones,0,1,1,1,0,,94,38.29787234,55.31914894,6.382978723,0
Lake_ 2022 Q2 Court,693,Lake, 2022 Q2 Court,261,114,39,48,3,5,11,1,9,8,Lake,Susan Krones,0,1,1,1,0,,95,41.05263158,50.52631579,5.263157895,3.157894737
Lake_ 2022 Q3 Court,694,Lake, 2022 Q3 Court,280,135,31,37,1,2,16,0,8,8,Lake,Susan Krones,0,1,1,1,1,,71,43.66197183,52.11267606,2.816901408,1.408450704
Lake_ 2022 Q4 Court,695,Lake, 2022 Q4 Court,229,133,51,78,0,6,17,0,3,6,Lake,Susan Krones,0,1,1,1,1,,135,37.77777778,57.77777778,4.444444444,0
Lake_ 2023 Q1 Court,696,Lake, 2023 Q1 Court,NA,143,19,42,0,9,27,1,14,5,Lake,Susan Krones,0,NA,NA,NA,0,,70,27.14285714,60,12.85714286,0
Lassen_ 2013 Q1 Court,697,Lassen, 2013 Q1 Court,127,13,23,15,5,0,18,0,4,NA,Lassen,Robert Burns,0,0,NA,NA,0,,43,53.48837209,34.88372093,0,11.62790698
Lassen_ 2013 Q2 Court,698,Lassen, 2013 Q2 Court,140,23,22,1,25,0,35,0,2,NA,Lassen,Robert Burns,0,0,NA,NA,0,,48,45.83333333,2.083333333,0,52.08333333
Lassen_ 2013 Q3 Court,699,Lassen, 2013 Q3 Court,112,13,20,21,12,0,24,3,3,2,Lassen,Robert Burns,0,0,NA,NA,0,,53,37.73584906,39.62264151,0,22.64150943
Lassen_ 2013 Q4 Court,700,Lassen, 2013 Q4 Court,101,10,26,18,16,0,25,6,11,3,Lassen,Robert Burns,0,0,NA,NA,0,,60,43.33333333,30,0,26.66666667
Lassen_ 2014 Q1 Court,701,Lassen, 2014 Q1 Court,98,8,17,22,6,0,16,11,11,6,Lassen,Robert Burns,0,0,NA,1,0,,45,37.77777778,48.88888889,0,13.33333333
Lassen_ 2014 Q2 Court,702,Lassen, 2014 Q2 Court,90,11,37,27,11,0,17,0,8,5,Lassen,Robert Burns,0,0,NA,1,0,,75,49.33333333,36,0,14.66666667
Lassen_ 2014 Q3 Court,703,Lassen, 2014 Q3 Court,124,17,45,26,10,0,18,0,9,5,Lassen,Robert Burns,0,0,NA,1,1,,81,55.55555556,32.09876543,0,12.34567901
Lassen_ 2014 Q4 Court,704,Lassen, 2014 Q4 Court,154,16,32,11,6,0,32,0,8,1,Lassen,Robert Burns,0,0,NA,1,1,,49,65.30612245,22.44897959,0,12.24489796
Lassen_ 2015 Q1 Court,705,Lassen, 2015 Q1 Court,125,22,36,12,6,2,21,0,2,2,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,56,64.28571429,21.42857143,3.571428571,10.71428571
Lassen_ 2015 Q2 Court,706,Lassen, 2015 Q2 Court,105,14,30,19,4,3,14,0,5,1,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,56,53.57142857,33.92857143,5.357142857,7.142857143
Lassen_ 2015 Q3 Court,707,Lassen, 2015 Q3 Court,125,16,59,11,5,0,12,0,5,2,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,75,78.66666667,14.66666667,0,6.666666667
Lassen_ 2015 Q4 Court,708,Lassen, 2015 Q4 Court,104,11,38,9,3,1,11,0,9,0,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,51,74.50980392,17.64705882,1.960784314,5.882352941
Lassen_ 2016 Q1 Court,709,Lassen, 2016 Q1 Court,96,5,42,13,3,0,11,0,5,1,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,58,72.4137931,22.4137931,0,5.172413793
Lassen_ 2016 Q2 Court,710,Lassen, 2016 Q2 Court,100,10,41,16,6,1,22,0,10,0,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,64,64.0625,25,1.5625,9.375
Lassen_ 2016 Q3 Court,711,Lassen, 2016 Q3 Court,101,15,36,4,3,1,24,0,8,1,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,44,81.81818182,9.090909091,2.272727273,6.818181818
Lassen_ 2016 Q4 Court,712,Lassen, 2016 Q4 Court,141,15,29,8,4,1,20,0,7,1,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,42,69.04761905,19.04761905,2.380952381,9.523809524
Lassen_ 2017 Q1 Court,713,Lassen, 2017 Q1 Court,147,0,65,4,1,5,14,14,10,0,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,75,86.66666667,5.333333333,6.666666667,1.333333333
Lassen_ 2017 Q2 Court,714,Lassen, 2017 Q2 Court,104,0,53,11,1,1,36,10,9,1,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,66,80.3030303,16.66666667,1.515151515,1.515151515
Lassen_ 2017 Q3 Court,715,Lassen, 2017 Q3 Court,94,0,40,8,2,0,36,2,4,5,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,50,80,16,0,4
Lassen_ 2017 Q4 Court,716,Lassen, 2017 Q4 Court,105,13,31,7,5,2,11,0,1,5,Lassen,Stacey Montgomery ,0,0,NA,NA,0,,45,68.88888889,15.55555556,4.444444444,11.11111111
Lassen_ 2018 Q1 Court,717,Lassen, 2018 Q1 Court,91,17,38,9,3,0,18,0,4,5,Lassen,Stacey Montgomery ,0,0,NA,1,0,,50,76,18,0,6
Lassen_ 2018 Q2 Court,718,Lassen, 2018 Q2 Court,134,6,58,5,11,0,9,0,0,2,Lassen,Stacey Montgomery ,0,0,NA,1,0,,74,78.37837838,6.756756757,0,14.86486486
Lassen_ 2018 Q3 Court,719,Lassen, 2018 Q3 Court,113,7,57,17,5,1,10,0,4,0,Lassen,Stacey Montgomery ,0,0,NA,1,1,,80,71.25,21.25,1.25,6.25
Lassen_ 2018 Q4 Court,720,Lassen, 2018 Q4 Court,82,13,71,12,6,2,12,0,4,3,Lassen,Stacey Montgomery ,0,0,NA,1,1,,91,78.02197802,13.18681319,2.197802198,6.593406593
Lassen_ 2019 Q1 Court,721,Lassen, 2019 Q1 Court,81,11,81,11,5,3,7,0,4,2,Lassen,Susan Rios,0,1,1,0,0,,100,81,11,3,5
Lassen_ 2019 Q2 Court,722,Lassen, 2019 Q2 Court,73,15,51,11,5,4,12,0,3,5,Lassen,Susan Rios,0,1,1,0,0,,71,71.83098592,15.49295775,5.633802817,7.042253521
Lassen_ 2019 Q3 Court,723,Lassen, 2019 Q3 Court,78,7,75,12,7,0,12,0,2,3,Lassen,Susan Rios,0,1,1,0,0,,94,79.78723404,12.76595745,0,7.446808511
Lassen_ 2019 Q4 Court,724,Lassen, 2019 Q4 Court,85,8,35,15,0,1,20,0,6,2,Lassen,Susan Rios,0,1,1,0,0,,51,68.62745098,29.41176471,1.960784314,0
Lassen_ 2020 Q1 Court,725,Lassen, 2020 Q1 Court,90,17,62,10,4,1,11,0,6,1,Lassen,Susan Rios,0,1,1,0,0,,77,80.51948052,12.98701299,1.298701299,5.194805195
Lassen_ 2020 Q2 Court,726,Lassen, 2020 Q2 Court,82,21,19,9,4,3,8,1,5,1,Lassen,Susan Rios,0,1,1,0,0,,35,54.28571429,25.71428571,8.571428571,11.42857143
Lassen_ 2020 Q3 Court,727,Lassen, 2020 Q3 Court,105,35,15,7,0,1,10,1,4,2,Lassen,Susan Rios,0,1,1,0,0,,23,65.2173913,30.43478261,4.347826087,0
Lassen_ 2020 Q4 Court,728,Lassen, 2020 Q4 Court,83,23,21,15,3,4,5,0,6,3,Lassen,Susan Rios,0,1,1,0,0,,43,48.8372093,34.88372093,9.302325581,6.976744186
Lassen_ 2021 Q1 Court,729,Lassen, 2021 Q1 Court,81,31,61,17,12,1,11,0,8,4,Lassen,Susan Rios,0,1,1,0,0,,91,67.03296703,18.68131868,1.098901099,13.18681319
Lassen_ 2021 Q2 Court,730,Lassen, 2021 Q2 Court,82,20,116,11,2,2,9,1,11,0,Lassen,Susan Rios,0,1,1,0,0,,131,88.54961832,8.396946565,1.526717557,1.526717557
Lassen_ 2021 Q3 Court,731,Lassen, 2021 Q3 Court,105,30,71,10,6,1,5,2,8,3,Lassen,Susan Rios,0,1,1,0,0,,88,80.68181818,11.36363636,1.136363636,6.818181818
Lassen_ 2021 Q4 Court,732,Lassen, 2021 Q4 Court,59,16,59,6,5,2,7,0,12,1,Lassen,Susan Rios,0,1,1,0,0,,72,81.94444444,8.333333333,2.777777778,6.944444444
Lassen_ 2022 Q1 Court,733,Lassen, 2022 Q1 Court,90,22,27,13,4,3,9,0,4,4,Lassen,Susan Rios,0,1,1,0,0,,47,57.44680851,27.65957447,6.382978723,8.510638298
Lassen_ 2022 Q2 Court,734,Lassen, 2022 Q2 Court,112,44,49,10,3,0,6,0,7,1,Lassen,Susan Rios,0,1,1,0,0,,62,79.03225806,16.12903226,0,4.838709677
Lassen_ 2022 Q3 Court,735,Lassen, 2022 Q3 Court,130,16,49,17,2,1,11,2,7,2,Lassen,Susan Rios,0,1,1,0,1,,69,71.01449275,24.63768116,1.449275362,2.898550725
Lassen_ 2022 Q4 Court,736,Lassen, 2022 Q4 Court,98,13,41,28,0,0,6,0,12,0,Lassen,Susan Rios,0,1,1,0,1,,69,59.42028986,40.57971014,0,0
Lassen_ 2023 Q1 Court,737,Lassen, 2023 Q1 Court,95,16,54,17,1,4,27,2,9,1,Lassen,Susan Rios,0,NA,NA,NA,0,,76,71.05263158,22.36842105,5.263157895,1.315789474
Los Angeles_ 2013 Q1 Court,738,Los Angeles, 2013 Q1 Court,14116,625,2977,6173,1861,60,NA,NA,2125,NA,Los Angeles,Jackey Lacey,0,1,1,0,0,https://www.laalmanac.com/election/el13.php,11071,26.89007316,55.75828742,0.541956463,16.80968296
Los Angeles_ 2013 Q2 Court,739,Los Angeles, 2013 Q2 Court,14638,999,3057,6317,1849,31,NA,NA,2230,NA,Los Angeles,Jackey Lacey,0,1,1,0,0,,11254,27.16367514,56.13115337,0.275457615,16.42971388
Los Angeles_ 2013 Q3 Court,740,Los Angeles, 2013 Q3 Court,14472,1114,2382,5570,1926,16,NA,NA,3392,2277,Los Angeles,Jackey Lacey,0,1,1,0,0,,9894,24.07519709,56.2967455,0.16171417,19.46634324
Los Angeles_ 2013 Q4 Court,741,Los Angeles, 2013 Q4 Court,13153,1045,2301,5416,1771,18,NA,NA,3038,2569,Los Angeles,Jackey Lacey,0,1,1,0,0,,9506,24.20576478,56.97454239,0.189354092,18.63033873
Los Angeles_ 2014 Q1 Court,742,Los Angeles, 2014 Q1 Court,14351,1196,2629,5900,1964,15,NA,NA,2063,2493,Los Angeles,Jackey Lacey,0,1,1,0,0,,10508,25.01903312,56.14769699,0.142748382,18.69052151
Los Angeles_ 2014 Q2 Court,743,Los Angeles, 2014 Q2 Court,14644,1426,2846,6424,1983,29,NA,NA,2496,2328,Los Angeles,Jackey Lacey,0,1,1,0,0,,11282,25.22602375,56.94025882,0.257046623,17.5766708
Los Angeles_ 2014 Q3 Court,744,Los Angeles, 2014 Q3 Court,14761,1301,1860,6861,1676,135,NA,NA,2224,2108,Los Angeles,Jackey Lacey,0,1,1,0,0,,10532,17.66046335,65.14432207,1.281807824,15.91340676
Los Angeles_ 2014 Q4 Court,745,Los Angeles, 2014 Q4 Court,11015,1111,1488,4061,913,156,3831,10,1996,2210,Los Angeles,Jackey Lacey,0,1,1,0,0,,6618,22.48413418,61.36294953,2.357207616,13.79570867
Los Angeles_ 2015 Q1 Court,746,Los Angeles, 2015 Q1 Court,9559,1171,1459,3107,805,197,3554,7,2071,2303,Los Angeles,Jackey Lacey,0,1,1,0,0,,5568,26.2033046,55.80100575,3.538074713,14.45761494
Los Angeles_ 2015 Q2 Court,747,Los Angeles, 2015 Q2 Court,9996,625,1580,3012,819,187,3375,29,1924,2686,Los Angeles,Jackey Lacey,0,1,1,0,0,,5598,28.22436584,53.80493033,3.340478742,14.63022508
Los Angeles_ 2015 Q3 Court,748,Los Angeles, 2015 Q3 Court,9536,1064,1522,3295,846,185,3042,48,1942,2842,Los Angeles,Jackey Lacey,0,1,1,0,0,,5848,26.02599179,56.34404925,3.163474692,14.46648427
Los Angeles_ 2015 Q4 Court,749,Los Angeles, 2015 Q4 Court,9258,1208,1471,3051,817,203,2827,52,1858,2543,Los Angeles,Jackey Lacey,0,1,1,0,0,,5542,26.54276435,55.05232768,3.662937568,14.74197041
Los Angeles_ 2016 Q1 Court,750,Los Angeles, 2016 Q1 Court,9688,1254,1541,2939,909,209,2996,84,1720,2358,Los Angeles,Jackey Lacey,0,1,1,0,0,,5598,27.52768846,52.50089318,3.733476242,16.23794212
Los Angeles_ 2016 Q2 Court,751,Los Angeles, 2016 Q2 Court,10379,1309,1556,3364,850,208,3256,86,1666,2309,Los Angeles,Jackey Lacey,0,1,1,0,0,,5978,26.02877216,56.273001,3.479424557,14.21880228
Los Angeles_ 2016 Q3 Court,752,Los Angeles, 2016 Q3 Court,10045,991,1616,3366,1031,189,3332,82,1725,2219,Los Angeles,Jackey Lacey,0,1,1,0,1,,6202,26.05611093,54.27281522,3.047404063,16.62366978
Los Angeles_ 2016 Q4 Court,753,Los Angeles, 2016 Q4 Court,9383,1285,1295,2807,848,189,2784,102,1514,1744,Los Angeles,Jackey Lacey,0,1,1,0,1,,5139,25.19945515,54.6215217,3.677758319,16.50126484
Los Angeles_ 2017 Q1 Court,754,Los Angeles, 2017 Q1 Court,9118,1188,1574,2963,1028,172,3651,137,1659,1100,Los Angeles,Jackey Lacey,0,1,0,1,0,,5737,27.43594213,51.64720237,2.998082622,17.91877288
Los Angeles_ 2017 Q2 Court,755,Los Angeles, 2017 Q2 Court,10041,1242,1684,3050,897,179,3397,139,1905,1544,Los Angeles,Jackey Lacey,0,1,0,1,0,,5810,28.98450947,52.49569707,3.080895009,15.43889845
Los Angeles_ 2017 Q3 Court,756,Los Angeles, 2017 Q3 Court,10894,1200,1678,3020,960,152,3171,132,1900,1536,Los Angeles,Jackey Lacey,0,1,0,1,0,,5810,28.88123924,51.97934596,2.616179002,16.5232358
Los Angeles_ 2017 Q4 Court,757,Los Angeles, 2017 Q4 Court,9785,1007,1496,2817,836,112,2926,160,2059,1720,Los Angeles,Jackey Lacey,0,1,0,1,0,,5261,28.43565862,53.54495343,2.128872838,15.89051511
Los Angeles_ 2018 Q1 Court,758,Los Angeles, 2018 Q1 Court,8811,1049,1711,2792,894,121,2694,107,2030,1987,Los Angeles,Jackey Lacey,0,1,0,1,0,,5518,31.00761145,50.59804277,2.192823487,16.20152229
Los Angeles_ 2018 Q2 Court,759,Los Angeles, 2018 Q2 Court,9057,1150,1804,2926,864,107,3516,109,2152,2012,Los Angeles,Jackey Lacey,0,1,0,1,0,,5701,31.6435713,51.32432907,1.876863708,15.15523592
Los Angeles_ 2018 Q3 Court,760,Los Angeles, 2018 Q3 Court,9748,1161,1723,2931,908,86,3461,101,2372,2039,Los Angeles,Jackey Lacey,0,1,0,1,0,,5648,30.50637394,51.89447592,1.52266289,16.07648725
Los Angeles_ 2018 Q4 Court,761,Los Angeles, 2018 Q4 Court,8430,1024,1482,2551,873,72,3336,99,2132,1952,Los Angeles,Jackey Lacey,0,1,0,1,0,,4978,29.77099237,51.24548011,1.446364002,17.53716352
Los Angeles_ 2019 Q1 Court,762,Los Angeles, 2019 Q1 Court,9132,1113,1574,2731,898,78,3675,90,2103,2192,Los Angeles,Jackey Lacey,0,1,0,1,0,,5281,29.80496118,51.71369059,1.476992994,17.00435524
Los Angeles_ 2019 Q2 Court,763,Los Angeles, 2019 Q2 Court,9838,1259,1572,2613,870,74,3720,70,2426,2337,Los Angeles,Jackey Lacey,0,1,0,1,0,,5129,30.64924937,50.94560343,1.44277637,16.96237083
Los Angeles_ 2019 Q3 Court,764,Los Angeles, 2019 Q3 Court,9446,1105,1709,2681,797,75,3481,100,2475,2450,Los Angeles,Jackey Lacey,0,1,0,1,0,,5262,32.47814519,50.95020905,1.425313569,15.14633219
Los Angeles_ 2019 Q4 Court,765,Los Angeles, 2019 Q4 Court,8383,1171,1493,2560,783,77,3049,114,2197,2255,Los Angeles,Jackey Lacey,0,1,0,1,0,,4913,30.3887645,52.10665581,1.567270507,15.93730918
Los Angeles_ 2020 Q1 Court,766,Los Angeles, 2020 Q1 Court,8509,1147,1309,2603,713,81,3029,86,2095,2223,Los Angeles,Jackey Lacey,0,1,0,1,0,,4706,27.81555461,55.31236719,1.72120697,15.15087123
