County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Alameda_ 2019 Q3 Court,27,Alameda, 2019 Q3 Court,1578,295,137,891,1,0,1678,0,145,241,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,1029,13.31389699,86.58892128,0,0.09718173
Alameda_ 2019 Q4 Court,28,Alameda, 2019 Q4 Court,1379,293,141,954,0,0,1455,2,76,212,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,1095,12.87671233,87.12328767,0,0
Alameda_ 2020 Q1 Court,29,Alameda, 2020 Q1 Court,1369,270,118,815,0,1,1627,0,72,191,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,934,12.63383298,87.25910064,0.107066381,0
Alameda_ 2020 Q2 Court,30,Alameda, 2020 Q2 Court,1201,36,35,217,0,0,1164,0,86,112,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,252,13.88888889,86.11111111,0,0
Alameda_ 2020 Q3 Court,31,Alameda, 2020 Q3 Court,1362,369,77,540,0,0,1391,0,62,181,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,617,12.47974068,87.52025932,0,0
Alameda_ 2020 Q4 Court,32,Alameda, 2020 Q4 Court,1408,511,43,317,0,1,958,0,37,110,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,361,11.91135734,87.81163435,0.27700831,0
Alameda_ 2021 Q1 Court,33,Alameda, 2021 Q1 Court,1439,580,66,496,0,0,977,0,110,137,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,562,11.74377224,88.25622776,0,0
Alameda_ 2021 Q2 Court,34,Alameda, 2021 Q2 Court,1273,592,84,549,0,0,771,0,60,149,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,633,13.27014218,86.72985782,0,0
Alameda_ 2021 Q3 Court,35,Alameda, 2021 Q3 Court,1287,565,69,560,0,1,631,0,74,132,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,630,10.95238095,88.88888889,0.158730159,0
Alameda_ 2021 Q4 Court,36,Alameda, 2021 Q4 Court,1229,508,101,631,0,0,694,0,73,148,Alameda,Nancy E. O'Malley,1,0,NA,NA,0,,732,13.79781421,86.20218579,0,0
Alameda_ 2022 Q1 Court,37,Alameda, 2022 Q1 Court,1342,570,109,752,1,1,724,0,64,112,Alameda,Nancy E. O'Malley,1,0,NA,1,0,,863,12.63035921,87.13789108,0.115874855,0.115874855
Alameda_ 2022 Q2 Court,38,Alameda, 2022 Q2 Court,1292,571,119,680,0,0,780,0,61,115,Alameda,Nancy E. O'Malley,1,0,NA,1,0,,799,14.89361702,85.10638298,0,0
Alameda_ 2022 Q3 Court,39,Alameda, 2022 Q3 Court,1325,579,116,686,0,0,1060,3,66,135,Alameda,Nancy E. O'Malley,1,0,NA,1,1,,802,14.4638404,85.5361596,0,0
Alameda_ 2022 Q4 Court,40,Alameda, 2022 Q4 Court,1106,425,128,649,0,0,969,3,45,77,Alameda,Nancy E. O'Malley,1,0,NA,1,1,,777,16.47361647,83.52638353,0,0
Alameda_ 2023 Q1 Court,41,Alameda, 2023 Q1 Court,659,375,93,711,0,0,1125,2,59,106,Alameda,Pamela Y. Price,1,NA,NA,NA,0,,804,11.56716418,88.43283582,0,0
Alpine_ 2013 Q1 Court,42,Alpine, 2013 Q1 Court,0,0,0,3,0,0,NA,0,1,0,Alpine,Terese Drabec,0,0,NA,NA,0,,3,0,100,0,0
Alpine_ 2013 Q2 Court,43,Alpine, 2013 Q2 Court,1,0,0,1,0,0,2,1,1,0,Alpine,Terese Drabec,0,0,NA,NA,0,,1,0,100,0,0
Alpine_ 2013 Q3 Court,44,Alpine, 2013 Q3 Court,1,1,0,0,0,0,2,2,0,0,Alpine,Terese Drabec,0,0,NA,NA,0,,0,NA,NA,NA,NA
Alpine_ 2013 Q4 Court,45,Alpine, 2013 Q4 Court,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpine,Terese Drabec,0,0,NA,NA,0,,NA,NA,NA,NA,NA
Alpine_ 2014 Q1 Court,46,Alpine, 2014 Q1 Court,0,0,0,0,0,0,0,0,0,0,Alpine,Terese Drabec,0,0,NA,0,0,,0,NA,NA,NA,NA
Alpine_ 2014 Q2 Court,47,Alpine, 2014 Q2 Court,0,0,0,0,0,0,0,0,0,1,Alpine,Terese Drabec,0,0,NA,0,0,,0,NA,NA,NA,NA
Alpine_ 2014 Q3 Court,48,Alpine, 2014 Q3 Court,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpine,Terese Drabec,0,0,NA,0,1,,NA,NA,NA,NA,NA
Alpine_ 2014 Q4 Court,49,Alpine, 2014 Q4 Court,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpine,Terese Drabec,0,0,NA,0,1,,NA,NA,NA,NA,NA
Alpine_ 2015 Q1 Court,50,Alpine, 2015 Q1 Court,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpine,Karen Dustman,0,0,NA,NA,0,,NA,NA,NA,NA,NA
Alpine_ 2015 Q2 Court,51,Alpine, 2015 Q2 Court,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpine,Karen Dustman,0,0,NA,NA,0,,NA,NA,NA,NA,NA
Alpine_ 2015 Q3 Court,52,Alpine, 2015 Q3 Court,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpine,Karen Dustman,0,0,NA,NA,0,,NA,NA,NA,NA,NA
Alpine_ 2015 Q4 Court,53,Alpine, 2015 Q4 Court,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpine,Karen Dustman,0,0,NA,NA,0,,NA,NA,NA,NA,NA
Alpine_ 2016 Q1 Court,54,Alpine, 2016 Q1 Court,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alpine,Karen Dustman,0,0,NA,NA,0,,NA,NA,NA,NA,NA
