County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Calaveras_2018 Q4 Court,216,Calaveras,2018 Q4 Court,95,13,5,8,0,1,27,2,9,0,Calaveras,Barbara M. Yook,0,1,1,0,1,,14,35.714286,57.142857,7.142857,0.0
Calaveras_2019 Q1 Court,217,Calaveras,2019 Q1 Court,62,1,11,26,0,0,42,1,10,0,Calaveras,Barbara M. Yook,0,1,1,0,0,,37,29.72973,70.27027,0.0,0.0
Calaveras_2019 Q2 Court,218,Calaveras,2019 Q2 Court,83,10,7,18,1,1,34,1,18,1,Calaveras,Barbara M. Yook,0,1,1,0,0,,27,25.925926,66.666667,3.703704,3.703704
Calaveras_2019 Q3 Court,219,Calaveras,2019 Q3 Court,87,1,6,16,1,1,37,0,11,1,Calaveras,Barbara M. Yook,0,1,1,0,0,,24,25.0,66.666667,4.166667,4.166667
Calaveras_2019 Q4 Court,220,Calaveras,2019 Q4 Court,76,12,8,18,2,2,50,0,7,2,Calaveras,Barbara M. Yook,0,1,1,0,0,,30,26.666667,60.0,6.666667,6.666667
Calaveras_2020 Q1 Court,221,Calaveras,2020 Q1 Court,69,3,14,14,1,6,46,1,9,0,Calaveras,Barbara M. Yook,0,1,1,0,0,,35,40.0,40.0,17.142857,2.857143
Calaveras_2020 Q2 Court,222,Calaveras,2020 Q2 Court,74,9,3,20,2,0,29,0,10,0,Calaveras,Barbara M. Yook,0,1,1,0,0,,25,12.0,80.0,0.0,8.0
Calaveras_2020 Q3 Court,223,Calaveras,2020 Q3 Court,64,6,10,17,1,0,34,0,12,0,Calaveras,Barbara M. Yook,0,1,1,0,0,,28,35.714286,60.714286,0.0,3.571429
Calaveras_2020 Q4 Court,224,Calaveras,2020 Q4 Court,52,4,12,15,1,0,27,0,8,0,Calaveras,Barbara M. Yook,0,1,1,0,0,,28,42.857143,53.571429,0.0,3.571429
Calaveras_2021 Q1 Court,225,Calaveras,2021 Q1 Court,47,6,7,12,0,0,21,0,6,2,Calaveras,Barbara M. Yook,0,1,1,0,0,,19,36.842105,63.157895,0.0,0.0
Calaveras_2021 Q2 Court,226,Calaveras,2021 Q2 Court,66,4,7,13,3,1,31,1,4,0,Calaveras,Barbara M. Yook,0,1,1,0,0,,24,29.166667,54.166667,4.166667,12.5
Calaveras_2021 Q3 Court,227,Calaveras,2021 Q3 Court,69,3,11,14,3,0,39,2,11,2,Calaveras,Barbara M. Yook,0,1,1,0,0,,28,39.285714,50.0,0.0,10.714286
Calaveras_2021 Q4 Court,228,Calaveras,2021 Q4 Court,60,6,4,17,0,0,27,1,9,1,Calaveras,Barbara M. Yook,0,1,1,0,0,,21,19.047619,80.952381,0.0,0.0
Calaveras_2022 Q1 Court,229,Calaveras,2022 Q1 Court,66,1,8,13,0,0,23,1,5,0,Calaveras,Barbara M. Yook,0,1,1,0,0,,21,38.095238,61.904762,0.0,0.0
Calaveras_2022 Q2 Court,230,Calaveras,2022 Q2 Court,77,7,7,18,0,1,20,1,11,0,Calaveras,Barbara M. Yook,0,1,1,0,0,,26,26.923077,69.230769,3.846154,0.0
Calaveras_2022 Q3 Court,231,Calaveras,2022 Q3 Court,72,4,8,21,0,1,27,3,9,0,Calaveras,Barbara M. Yook,0,1,1,0,1,,30,26.666667,70.0,3.333333,0.0
Calaveras_2022 Q4 Court,232,Calaveras,2022 Q4 Court,79,2,10,17,0,0,24,0,6,1,Calaveras,Barbara M. Yook,0,1,1,0,1,,27,37.037037,62.962963,0.0,0.0
Calaveras_2023 Q1 Court,233,Calaveras,2023 Q1 Court,63,2,12,18,0,0,31,0,12,0,Calaveras,Barbara M. Yook,0,NA,NA,NA,0,,30,40.0,60.0,0.0,0.0
Calaveras_2023 Q2 Court,234,Calaveras,2023 Q2 Court,63,4,10,17,1,0,23,0,8,0,,,,,,,,,28,35.714286,60.714286,0.0,3.571429
Calaveras_2023 Q3 Court,235,Calaveras,2023 Q3 Court,63,1,9,15,2,2,27,0,9,0,,,,,,,,,28,32.142857,53.571429,7.142857,7.142857
Calaveras_2023 Q4 Court,236,Calaveras,2023 Q4 Court,58,6,7,12,0,0,24,0,11,0,,,,,,,,,19,36.842105,63.157895,0.0,0.0
Calaveras_2024 Q1 Court,237,Calaveras,2024 Q1 Court,19,3,7,3,3,12,27,0,9,0,,,,,,,,,25,28.0,12.0,48.0,12.0
Calaveras_2024 Q2 Court,238,Calaveras,2024 Q2 Court,59,3,5,12,1,1,25,0,14,0,,,,,,,,,19,26.315789,63.157895,5.263158,5.263158
Calaveras_2024 Q3 Court,239,Calaveras,2024 Q3 Court,49,5,9,8,3,1,24,0,7,0,,,,,,,,,21,42.857143,38.095238,4.761905,14.285714
Calaveras_2024 Q4 Court,240,Calaveras,2024 Q4 Court,55,2,13,12,2,0,15,0,0,0,,,,,,,,,27,48.148148,44.444444,0.0,7.407407
Colusa_2013 Q1 Court,241,Colusa,2013 Q1 Court,91,11,4,10,3,0,16,0,5,0,Colusa,John R. Poyner,0,1,1,0,0,https://www.countyofcolusa.org/679/Past-Election-Results,17,23.529412,58.823529,0.0,17.647059
Colusa_2013 Q2 Court,242,Colusa,2013 Q2 Court,77,19,9,19,1,0,13,0,1,0,Colusa,John R. Poyner,0,1,1,0,0,,29,31.034483,65.517241,0.0,3.448276
Colusa_2013 Q3 Court,243,Colusa,2013 Q3 Court,70,22,10,15,3,0,4,0,2,1,Colusa,John R. Poyner,0,1,1,0,0,,28,35.714286,53.571429,0.0,10.714286
Colusa_2013 Q4 Court,244,Colusa,2013 Q4 Court,91,17,4,12,0,1,20,0,6,0,Colusa,John R. Poyner,0,1,1,0,0,,17,23.529412,70.588235,5.882353,0.0
Colusa_2014 Q1 Court,245,Colusa,2014 Q1 Court,94,13,7,20,2,3,22,0,3,2,Colusa,John R. Poyner,0,1,1,0,0,,32,21.875,62.5,9.375,6.25
Colusa_2014 Q2 Court,246,Colusa,2014 Q2 Court,88,12,13,8,0,2,8,3,2,0,Colusa,John R. Poyner,0,1,1,0,0,,23,56.521739,34.782609,8.695652,0.0
Colusa_2014 Q3 Court,247,Colusa,2014 Q3 Court,73,11,7,9,0,4,20,5,1,0,Colusa,John R. Poyner,0,1,1,0,1,,20,35.0,45.0,20.0,0.0
Colusa_2014 Q4 Court,248,Colusa,2014 Q4 Court,72,13,7,15,3,2,26,3,1,0,Colusa,John R. Poyner,0,1,1,0,1,,27,25.925926,55.555556,7.407407,11.111111
Colusa_2015 Q1 Court,249,Colusa,2015 Q1 Court,61,6,6,14,4,2,19,9,7,0,Colusa,John R. Poyner,0,0,NA,NA,0,,26,23.076923,53.846154,7.692308,15.384615
Colusa_2015 Q2 Court,250,Colusa,2015 Q2 Court,59,9,1,11,0,2,28,4,3,1,Colusa,John R. Poyner,0,0,NA,NA,0,,14,7.142857,78.571429,14.285714,0.0
Colusa_2015 Q3 Court,251,Colusa,2015 Q3 Court,67,10,3,16,6,0,29,5,5,0,Colusa,John R. Poyner,0,0,NA,NA,0,,25,12.0,64.0,0.0,24.0
