County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
El Dorado_2021 Q1 Court,417,El Dorado,2021 Q1 Court,272,137,43,90,0,5,26,4,21,20,El Dorado,Vern Pierson,0,1,1,0,0,,138,31.15942,65.217391,3.623188,0.0
El Dorado_2021 Q2 Court,418,El Dorado,2021 Q2 Court,225,128,33,66,1,12,51,5,25,28,El Dorado,Vern Pierson,0,1,1,0,0,,112,29.464286,58.928571,10.714286,0.892857
El Dorado_2021 Q3 Court,419,El Dorado,2021 Q3 Court,277,129,16,66,4,3,52,9,26,38,El Dorado,Vern Pierson,0,1,1,0,0,,89,17.977528,74.157303,3.370787,4.494382
El Dorado_2021 Q4 Court,420,El Dorado,2021 Q4 Court,179,23,34,44,0,3,76,7,19,15,El Dorado,Vern Pierson,0,1,1,0,0,,81,41.975309,54.320988,3.703704,0.0
El Dorado_2022 Q1 Court,421,El Dorado,2022 Q1 Court,198,19,22,46,1,3,78,14,20,19,El Dorado,Vern Pierson,0,1,1,0,0,,72,30.555556,63.888889,4.166667,1.388889
El Dorado_2022 Q2 Court,422,El Dorado,2022 Q2 Court,180,33,35,67,0,1,74,15,20,26,El Dorado,Vern Pierson,0,1,1,0,0,,103,33.980583,65.048544,0.970874,0.0
El Dorado_2022 Q3 Court,423,El Dorado,2022 Q3 Court,188,47,73,0,0,2,83,14,25,21,El Dorado,Vern Pierson,0,1,1,0,1,,75,97.333333,0.0,2.666667,0.0
El Dorado_2022 Q4 Court,424,El Dorado,2022 Q4 Court,183,25,34,89,0,10,76,18,17,28,El Dorado,Vern Pierson,0,1,1,0,1,,133,25.56391,66.917293,7.518797,0.0
El Dorado_2023 Q1 Court,425,El Dorado,2023 Q1 Court,199,34,32,103,0,1,76,11,24,21,El Dorado,Vern Pierson,0,NA,NA,NA,0,,136,23.529412,75.735294,0.735294,0.0
El Dorado_2023 Q2 Court,426,El Dorado,2023 Q2 Court,214,28,35,91,1,7,70,21,31,20,,,,,,,,,134,26.119403,67.910448,5.223881,0.746269
El Dorado_2023 Q3 Court,427,El Dorado,2023 Q3 Court,204,26,30,70,0,4,76,4,35,23,,,,,,,,,104,28.846154,67.307692,3.846154,0.0
El Dorado_2023 Q4 Court,428,El Dorado,2023 Q4 Court,218,17,26,90,1,4,81,14,29,21,,,,,,,,,121,21.487603,74.380165,3.305785,0.826446
El Dorado_2024 Q1 Court,429,El Dorado,2024 Q1 Court,237,28,35,89,1,5,86,7,48,38,,,,,,,,,130,26.923077,68.461538,3.846154,0.769231
El Dorado_2024 Q2 Court,430,El Dorado,2024 Q2 Court,196,8,19,32,2,2,96,11,35,24,,,,,,,,,55,34.545455,58.181818,3.636364,3.636364
El Dorado_2024 Q3 Court,431,El Dorado,2024 Q3 Court,243,11,23,48,3,1,103,20,30,19,,,,,,,,,75,30.666667,64.0,1.333333,4.0
El Dorado_2024 Q4 Court,432,El Dorado,2024 Q4 Court,218,3,27,34,1,6,94,14,38,22,,,,,,,,,68,39.705882,50.0,8.823529,1.470588
Fresno_2013 Q1 Court,433,Fresno,2013 Q1 Court,2938,2453,439,872,158,168,706,253,367,NA,Fresno,Elizabeth Egan,0,1,1,1,0,,1637,26.817349,53.268173,10.262676,9.651802
Fresno_2013 Q2 Court,434,Fresno,2013 Q2 Court,2786,2677,491,931,145,121,717,241,337,NA,Fresno,Elizabeth Egan,0,1,1,1,0,,1688,29.087678,55.154028,7.168246,8.590047
Fresno_2013 Q3 Court,435,Fresno,2013 Q3 Court,3061,3386,562,1024,110,123,660,258,342,47,Fresno,Elizabeth Egan,0,1,1,1,0,,1819,30.896097,56.294667,6.761957,6.047279
Fresno_2013 Q4 Court,436,Fresno,2013 Q4 Court,2921,3082,416,942,117,128,720,289,243,52,Fresno,Elizabeth Egan,0,1,1,1,0,,1603,25.951341,58.764816,7.985028,7.298815
Fresno_2014 Q1 Court,437,Fresno,2014 Q1 Court,2802,3160,504,1096,89,192,697,280,239,73,Fresno,Elizabeth Egan,0,1,1,1,0,,1881,26.794258,58.266879,10.207337,4.731526
Fresno_2014 Q2 Court,438,Fresno,2014 Q2 Court,3136,2998,574,1092,88,253,653,279,287,67,Fresno,Elizabeth Egan,0,1,1,1,0,,2007,28.5999,54.409567,12.605879,4.384654
Fresno_2014 Q3 Court,439,Fresno,2014 Q3 Court,2877,2825,567,1251,79,250,836,242,244,85,Fresno,Elizabeth Egan,0,1,1,1,1,,2147,26.408943,58.26735,11.644155,3.679553
Fresno_2014 Q4 Court,440,Fresno,2014 Q4 Court,2158,1953,436,687,44,148,825,373,216,92,Fresno,Elizabeth Egan,0,1,1,1,1,,1315,33.155894,52.243346,11.254753,3.346008
Fresno_2015 Q1 Court,441,Fresno,2015 Q1 Court,1847,1639,354,665,32,207,589,268,271,99,Fresno,Lisa A. Smittcamp,0,1,1,1,0,Smittcamp beat Egan withs upport of local law enforcement and from the prosecutors and investigators in her office,1258,28.139905,52.861685,16.45469,2.54372
Fresno_2015 Q2 Court,442,Fresno,2015 Q2 Court,1936,1528,506,593,51,224,623,280,381,176,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1374,36.826783,43.158661,16.302766,3.71179
Fresno_2015 Q3 Court,443,Fresno,2015 Q3 Court,1994,1169,304,716,36,131,771,196,336,170,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1187,25.610783,60.320135,11.036226,3.032856
Fresno_2015 Q4 Court,444,Fresno,2015 Q4 Court,1571,973,293,711,43,134,599,227,315,196,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1181,24.809483,60.203218,11.346317,3.640982
Fresno_2016 Q1 Court,445,Fresno,2016 Q1 Court,1809,891,324,698,58,117,853,270,362,153,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1197,27.067669,58.312448,9.774436,4.845447
Fresno_2016 Q2 Court,446,Fresno,2016 Q2 Court,1999,828,379,720,24,124,762,327,419,112,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1247,30.392943,57.738573,9.943865,1.924619
Fresno_2016 Q3 Court,447,Fresno,2016 Q3 Court,1733,1049,382,724,32,120,1195,318,414,72,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1258,30.36566,57.551669,9.538951,2.54372
Fresno_2016 Q4 Court,448,Fresno,2016 Q4 Court,1554,822,344,629,32,78,1539,313,327,114,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1083,31.76362,58.079409,7.202216,2.954755
Fresno_2017 Q1 Court,449,Fresno,2017 Q1 Court,1650,840,401,642,25,97,1040,298,380,127,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1165,34.420601,55.107296,8.32618,2.145923
Fresno_2017 Q2 Court,450,Fresno,2017 Q2 Court,1650,734,392,590,35,129,891,204,409,115,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1146,34.205934,51.483421,11.256545,3.054101
Fresno_2017 Q3 Court,451,Fresno,2017 Q3 Court,1691,631,345,616,27,107,951,325,411,168,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1095,31.506849,56.255708,9.771689,2.465753
Fresno_2017 Q4 Court,452,Fresno,2017 Q4 Court,1641,654,361,566,24,93,830,286,354,130,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1044,34.578544,54.214559,8.908046,2.298851
Fresno_2018 Q1 Court,453,Fresno,2018 Q1 Court,1856,790,401,618,36,97,1208,288,383,144,Fresno,Lisa A. Smittcamp,0,1,1,1,0,Need the info on whether it was contested here,1152,34.809028,53.645833,8.420139,3.125
Fresno_2018 Q2 Court,454,Fresno,2018 Q2 Court,1963,1167,444,720,43,87,1210,286,194,102,Fresno,Lisa A. Smittcamp,0,1,1,1,0,,1294,34.31221,55.641422,6.723338,3.323029
Fresno_2018 Q3 Court,455,Fresno,2018 Q3 Court,2062,1171,448,713,33,99,975,186,160,100,Fresno,Lisa A. Smittcamp,0,1,1,1,1,,1293,34.648105,55.143078,7.656613,2.552204
Fresno_2018 Q4 Court,456,Fresno,2018 Q4 Court,1925,2221,368,667,43,76,726,218,410,123,Fresno,Lisa A. Smittcamp,0,1,1,1,1,,1154,31.889081,57.79896,6.585789,3.72617
Fresno_2019 Q1 Court,457,Fresno,2019 Q1 Court,1874,5649,375,678,34,96,450,188,353,138,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,1183,31.69907,57.311919,8.114962,2.874049
Fresno_2019 Q2 Court,458,Fresno,2019 Q2 Court,1946,5745,383,629,49,73,465,139,342,148,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,1134,33.77425,55.467372,6.43739,4.320988
Fresno_2019 Q3 Court,459,Fresno,2019 Q3 Court,2141,6038,386,645,61,68,438,177,349,162,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,1160,33.275862,55.603448,5.862069,5.258621
Fresno_2019 Q4 Court,460,Fresno,2019 Q4 Court,1799,5608,380,620,52,51,363,201,285,179,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,1103,34.451496,56.210335,4.623753,4.714415
Fresno_2020 Q1 Court,461,Fresno,2020 Q1 Court,1917,4208,346,609,41,61,375,139,363,237,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,1057,32.734153,57.615894,5.77105,3.878903
Fresno_2020 Q2 Court,462,Fresno,2020 Q2 Court,1791,661,183,216,23,22,110,108,280,49,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,444,41.216216,48.648649,4.954955,5.18018
Fresno_2020 Q3 Court,463,Fresno,2020 Q3 Court,2140,2450,215,428,9,9,149,107,213,67,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,661,32.526475,64.750378,1.361573,1.361573
Fresno_2020 Q4 Court,464,Fresno,2020 Q4 Court,2149,2494,270,425,14,17,486,99,212,69,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,726,37.190083,58.539945,2.341598,1.928375
Fresno_2021 Q1 Court,465,Fresno,2021 Q1 Court,2286,3090,293,440,18,28,567,94,129,24,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,779,37.612323,56.48267,3.594352,2.310655
Fresno_2021 Q2 Court,466,Fresno,2021 Q2 Court,2174,3823,388,454,33,24,366,62,140,30,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,899,43.159066,50.500556,2.669633,3.670745
Fresno_2021 Q3 Court,467,Fresno,2021 Q3 Court,2284,1754,395,574,29,31,224,24,117,50,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,1029,38.386783,55.782313,3.012634,2.81827
Fresno_2021 Q4 Court,468,Fresno,2021 Q4 Court,1757,1064,415,630,46,27,196,22,116,32,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,1118,37.119857,56.350626,2.415027,4.11449
Fresno_2022 Q1 Court,469,Fresno,2022 Q1 Court,1981,1381,416,676,30,36,167,24,118,20,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,1158,35.924007,58.376511,3.108808,2.590674
Fresno_2022 Q2 Court,470,Fresno,2022 Q2 Court,2141,1255,458,707,42,33,252,32,177,37,Fresno,Lisa A. Smittcamp,0,1,1,0,0,,1240,36.935484,57.016129,2.66129,3.387097
Fresno_2022 Q3 Court,471,Fresno,2022 Q3 Court,2108,1175,400,731,34,51,349,34,153,28,Fresno,Lisa A. Smittcamp,0,1,1,0,1,,1216,32.894737,60.115132,4.194079,2.796053
Fresno_2022 Q4 Court,472,Fresno,2022 Q4 Court,1799,881,431,621,44,47,324,61,179,22,Fresno,Lisa A. Smittcamp,0,1,1,0,1,,1143,37.707787,54.330709,4.111986,3.849519
Fresno_2023 Q1 Court,473,Fresno,2023 Q1 Court,2036,949,492,658,40,35,358,64,201,28,Fresno,Lisa A. Smittcamp,0,NA,NA,NA,0,,1225,40.163265,53.714286,2.857143,3.265306
Fresno_2023 Q2 Court,474,Fresno,2023 Q2 Court,2168,979,430,675,54,63,483,45,252,24,,,,,,,,,1222,35.188216,55.237316,5.155483,4.418985
Fresno_2023 Q3 Court,475,Fresno,2023 Q3 Court,2005,999,415,637,38,57,403,53,281,24,,,,,,,,,1147,36.181343,55.536181,4.969486,3.31299
Fresno_2023 Q4 Court,476,Fresno,2023 Q4 Court,1909,794,421,673,57,36,401,62,261,23,,,,,,,,,1187,35.467565,56.697557,3.032856,4.802022
Fresno_2024 Q1 Court,477,Fresno,2024 Q1 Court,1751,838,393,684,52,51,466,72,230,29,,,,,,,,,1180,33.305085,57.966102,4.322034,4.40678
Fresno_2024 Q2 Court,478,Fresno,2024 Q2 Court,1832,837,357,631,28,41,406,56,269,36,,,,,,,,,1057,33.774834,59.697256,3.878903,2.649007
Fresno_2024 Q3 Court,479,Fresno,2024 Q3 Court,1817,941,388,595,30,33,452,47,222,36,,,,,,,,,1046,37.09369,56.883365,3.154876,2.868069
Fresno_2024 Q4 Court,480,Fresno,2024 Q4 Court,1587,862,396,531,42,25,329,38,219,35,,,,,,,,,994,39.839034,53.420523,2.515091,4.225352
Glenn_2013 Q1 Court,481,Glenn,2013 Q1 Court,50,6,2,22,3,9,30,12,8,1,Glenn,Robert J. Maloney,0,1,0,1,0,,36,5.555556,61.111111,25.0,8.333333
Glenn_2013 Q2 Court,482,Glenn,2013 Q2 Court,65,12,4,27,5,19,87,3,3,NA,Glenn,Robert J. Maloney,0,1,0,1,0,,55,7.272727,49.090909,34.545455,9.090909
Glenn_2013 Q3 Court,483,Glenn,2013 Q3 Court,72,1,8,34,7,24,82,6,5,1,Glenn,Robert J. Maloney,0,1,0,1,0,,73,10.958904,46.575342,32.876712,9.589041
Glenn_2013 Q4 Court,484,Glenn,2013 Q4 Court,62,4,7,33,6,28,58,8,5,1,Glenn,Robert J. Maloney,0,1,0,1,0,,74,9.459459,44.594595,37.837838,8.108108
Glenn_2014 Q1 Court,485,Glenn,2014 Q1 Court,51,6,2,22,3,9,30,12,8,1,Glenn,Robert J. Maloney,0,1,0,1,0,,36,5.555556,61.111111,25.0,8.333333
Glenn_2014 Q2 Court,486,Glenn,2014 Q2 Court,56,7,2,28,4,18,38,12,3,2,Glenn,Robert J. Maloney,0,1,0,1,0,,52,3.846154,53.846154,34.615385,7.692308
Glenn_2014 Q3 Court,487,Glenn,2014 Q3 Court,69,6,3,29,3,22,22,8,4,1,Glenn,Robert J. Maloney,0,1,0,1,1,,57,5.263158,50.877193,38.596491,5.263158
Glenn_2014 Q4 Court,488,Glenn,2014 Q4 Court,116,4,3,38,3,31,28,8,2,3,Glenn,Robert J. Maloney,0,1,0,1,1,,75,4.0,50.666667,41.333333,4.0
Glenn_2015 Q1 Court,489,Glenn,2015 Q1 Court,52,2,1,29,0,15,10,4,2,1,Glenn,Dwayne R. Stewart,0,1,1,0,0,,45,2.222222,64.444444,33.333333,0.0
Glenn_2015 Q2 Court,490,Glenn,2015 Q2 Court,63,1,3,34,0,12,8,5,2,2,Glenn,Dwayne R. Stewart,0,1,1,0,0,,49,6.122449,69.387755,24.489796,0.0
Glenn_2015 Q3 Court,491,Glenn,2015 Q3 Court,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2015 Q4 Court,492,Glenn,2015 Q4 Court,58,1,3,20,0,9,10,3,2,2,Glenn,Dwayne R. Stewart,0,1,1,0,0,,32,9.375,62.5,28.125,0.0
Glenn_2016 Q1 Court,493,Glenn,2016 Q1 Court,79,4,6,40,2,12,8,4,1,0,Glenn,Dwayne R. Stewart,0,1,1,0,0,,60,10.0,66.666667,20.0,3.333333
Glenn_2016 Q2 Court,494,Glenn,2016 Q2 Court,115,12,8,52,4,18,16,9,3,2,Glenn,Dwayne R. Stewart,0,1,1,0,0,,82,9.756098,63.414634,21.95122,4.878049
Glenn_2016 Q3 Court,495,Glenn,2016 Q3 Court,109,12,2,24,1,15,22,8,4,1,Glenn,Dwayne R. Stewart,0,1,1,0,0,,42,4.761905,57.142857,35.714286,2.380952
Glenn_2016 Q4 Court,496,Glenn,2016 Q4 Court,81,14,1,42,3,16,26,3,0,0,Glenn,Dwayne R. Stewart,0,1,1,0,0,,62,1.612903,67.741935,25.806452,4.83871
Glenn_2017 Q1 Court,497,Glenn,2017 Q1 Court,64,0,2,32,0,12,25,3,2,1,Glenn,Dwayne R. Stewart,0,1,1,0,0,,46,4.347826,69.565217,26.086957,0.0
Glenn_2017 Q2 Court,498,Glenn,2017 Q2 Court,65,1,1,34,1,8,22,8,2,2,Glenn,Dwayne R. Stewart,0,1,1,0,0,,44,2.272727,77.272727,18.181818,2.272727
Glenn_2017 Q3 Court,499,Glenn,2017 Q3 Court,67,1,1,32,1,9,25,7,3,0,Glenn,Dwayne R. Stewart,0,1,1,0,0,,43,2.325581,74.418605,20.930233,2.325581
Glenn_2017 Q4 Court,500,Glenn,2017 Q4 Court,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2018 Q1 Court,501,Glenn,2018 Q1 Court,94,3,NA,45,37,0,27,0,7,1,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2018 Q2 Court,502,Glenn,2018 Q2 Court,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2018 Q3 Court,503,Glenn,2018 Q3 Court,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glenn,Dwayne R. Stewart,0,1,1,0,1,,,,,,
Glenn_2018 Q4 Court,504,Glenn,2018 Q4 Court,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,Glenn,Dwayne R. Stewart,0,1,1,0,1,,,,,,
Glenn_2019 Q1 Court,505,Glenn,2019 Q1 Court,80,12,16,17,5,2,64,0,9,3,Glenn,Dwayne R. Stewart,0,1,1,0,0,,40,40.0,42.5,5.0,12.5
Glenn_2019 Q2 Court,506,Glenn,2019 Q2 Court,73,5,11,21,4,3,55,4,0,2,Glenn,Dwayne R. Stewart,0,1,1,0,0,,39,28.205128,53.846154,7.692308,10.25641
Glenn_2019 Q3 Court,507,Glenn,2019 Q3 Court,124,9,12,26,4,2,86,0,9,5,Glenn,Dwayne R. Stewart,0,1,1,0,0,,44,27.272727,59.090909,4.545455,9.090909
Glenn_2019 Q4 Court,508,Glenn,2019 Q4 Court,83,7,5,13,2,1,89,0,14,4,Glenn,Dwayne R. Stewart,0,1,1,0,0,,21,23.809524,61.904762,4.761905,9.52381
Glenn_2020 Q1 Court,509,Glenn,2020 Q1 Court,69,35,14,14,2,3,62,2,11,6,Glenn,Dwayne R. Stewart,0,1,1,0,0,,33,42.424242,42.424242,9.090909,6.060606
Glenn_2020 Q2 Court,510,Glenn,2020 Q2 Court,62,32,23,35,0,0,61,3,6,0,Glenn,Dwayne R. Stewart,0,1,1,0,0,,58,39.655172,60.344828,0.0,0.0
Glenn_2020 Q3 Court,511,Glenn,2020 Q3 Court,69,16,14,36,3,0,77,4,6,4,Glenn,Dwayne R. Stewart,0,1,1,0,0,,53,26.415094,67.924528,0.0,5.660377
Glenn_2020 Q4 Court,512,Glenn,2020 Q4 Court,67,38,3,28,2,0,64,7,9,0,Glenn,Dwayne R. Stewart,0,1,1,0,0,,33,9.090909,84.848485,0.0,6.060606
Glenn_2021 Q1 Court,513,Glenn,2021 Q1 Court,83,32,12,NA,2,NA,69,1,18,0,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2021 Q2 Court,514,Glenn,2021 Q2 Court,74,NA,12,NA,1,NA,99,0,12,0,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2021 Q3 Court,515,Glenn,2021 Q3 Court,101,NA,15,NA,2,NA,92,5,11,0,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2021 Q4 Court,516,Glenn,2021 Q4 Court,56,NA,3,NA,0,NA,71,1,6,0,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2022 Q1 Court,517,Glenn,2022 Q1 Court,67,NA,9,NA,3,NA,85,2,6,1,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2022 Q2 Court,518,Glenn,2022 Q2 Court,88,NA,7,NA,0,NA,76,0,1,4,Glenn,Dwayne R. Stewart,0,1,1,0,0,,,,,,
Glenn_2022 Q3 Court,519,Glenn,2022 Q3 Court,62,NA,11,NA,0,NA,58,1,1,1,Glenn,Dwayne R. Stewart,0,1,1,0,1,,,,,,
Glenn_2022 Q4 Court,520,Glenn,2022 Q4 Court,61,NA,8,NA,1,NA,38,0,5,1,Glenn,Dwayne R. Stewart,0,1,1,0,1,,,,,,
Glenn_2023 Q1 Court,521,Glenn,2023 Q1 Court,51,67,17,36,4,NA,63,0,3,0,,,,,,,,,,,,,
Glenn_2023 Q2 Court,522,Glenn,2023 Q2 Court,55,65,7,25,3,NA,96,0,7,1,,,,,,,,,,,,,
Glenn_2023 Q3 Court,523,Glenn,2023 Q3 Court,101,72,10,31,4,NA,68,0,6,2,,,,,,,,,,,,,
Glenn_2023 Q4 Court,524,Glenn,2023 Q4 Court,53,54,6,38,1,NA,55,0,6,2,,,,,,,,,,,,,
Glenn_2024 Q1 Court,525,Glenn,2024 Q1 Court,57,82,7,45,3,1,77,0,7,1,,,,,,,,,56,12.5,80.357143,1.785714,5.357143
Glenn_2024 Q2 Court,526,Glenn,2024 Q2 Court,59,91,7,25,2,5,36,1,10,0,,,,,,,,,39,17.948718,64.102564,12.820513,5.128205
Glenn_2024 Q3 Court,527,Glenn,2024 Q3 Court,31,85,9,21,3,0,51,0,7,1,,,,,,,,,33,27.272727,63.636364,0.0,9.090909
Glenn_2024 Q4 Court,528,Glenn,2024 Q4 Court,35,66,4,16,1,0,32,0,11,0,,,,,,,,,21,19.047619,76.190476,0.0,4.761905
Humboldt_2013 Q1 Court,529,Humboldt,2013 Q1 Court,509,150,21,125,6,23,180,56,58,NA,Humboldt,Paul Gallegos,0,0,NA,NA,0,,175,12.0,71.428571,13.142857,3.428571
Humboldt_2013 Q2 Court,530,Humboldt,2013 Q2 Court,445,172,30,101,2,20,254,61,48,NA,Humboldt,Paul Gallegos,0,0,NA,NA,0,,153,19.607843,66.013072,13.071895,1.30719
Humboldt_2013 Q3 Court,531,Humboldt,2013 Q3 Court,555,192,31,91,4,11,195,61,51,4,Humboldt,Paul Gallegos,0,0,NA,NA,0,,137,22.627737,66.423358,8.029197,2.919708
Humboldt_2013 Q4 Court,532,Humboldt,2013 Q4 Court,544,167,28,134,4,16,231,51,53,4,Humboldt,Paul Gallegos,0,0,NA,NA,0,,182,15.384615,73.626374,8.791209,2.197802
Humboldt_2014 Q1 Court,533,Humboldt,2014 Q1 Court,476,173,32,128,2,8,284,64,35,3,Humboldt,Paul Gallegos,0,0,NA,1,0,,170,18.823529,75.294118,4.705882,1.176471
Humboldt_2014 Q2 Court,534,Humboldt,2014 Q2 Court,476,121,28,118,4,8,248,76,52,8,Humboldt,Paul Gallegos,0,0,NA,1,0,,158,17.721519,74.683544,5.063291,2.531646
Humboldt_2014 Q3 Court,535,Humboldt,2014 Q3 Court,420,159,11,113,1,18,277,50,55,4,Humboldt,Paul Gallegos,0,0,NA,1,1,,143,7.692308,79.020979,12.587413,0.699301
Humboldt_2014 Q4 Court,536,Humboldt,2014 Q4 Court,335,142,20,63,3,5,149,76,49,5,Humboldt,Paul Gallegos,0,0,NA,1,1,,91,21.978022,69.230769,5.494505,3.296703
Humboldt_2015 Q1 Court,537,Humboldt,2015 Q1 Court,378,163,27,65,6,3,150,33,45,6,Humboldt,Maggie Fleming,0,1,1,0,0,,101,26.732673,64.356436,2.970297,5.940594
Humboldt_2015 Q2 Court,538,Humboldt,2015 Q2 Court,406,120,42,90,1,10,130,28,49,4,Humboldt,Maggie Fleming,0,1,1,0,0,,143,29.370629,62.937063,6.993007,0.699301
Humboldt_2015 Q3 Court,539,Humboldt,2015 Q3 Court,294,115,27,94,2,7,138,28,54,10,Humboldt,Maggie Fleming,0,1,1,0,0,,130,20.769231,72.307692,5.384615,1.538462
Humboldt_2015 Q4 Court,540,Humboldt,2015 Q4 Court,356,65,22,45,0,8,93,19,37,0,Humboldt,Maggie Fleming,0,1,1,0,0,,75,29.333333,60.0,10.666667,0.0
Humboldt_2016 Q1 Court,541,Humboldt,2016 Q1 Court,342,130,36,75,2,12,141,29,50,6,Humboldt,Maggie Fleming,0,1,1,0,0,,125,28.8,60.0,9.6,1.6
Humboldt_2016 Q2 Court,542,Humboldt,2016 Q2 Court,377,101,30,83,0,13,135,34,51,7,Humboldt,Maggie Fleming,0,1,1,0,0,,126,23.809524,65.873016,10.31746,0.0
Humboldt_2016 Q3 Court,543,Humboldt,2016 Q3 Court,296,97,41,104,2,24,146,40,66,6,Humboldt,Maggie Fleming,0,1,1,0,0,,171,23.976608,60.818713,14.035088,1.169591
Humboldt_2016 Q4 Court,544,Humboldt,2016 Q4 Court,300,88,24,94,1,16,154,58,55,8,Humboldt,Maggie Fleming,0,1,1,0,0,,135,17.777778,69.62963,11.851852,0.740741
Humboldt_2017 Q1 Court,545,Humboldt,2017 Q1 Court,261,87,39,83,1,16,151,83,60,10,Humboldt,Maggie Fleming,0,1,1,0,0,,139,28.057554,59.71223,11.510791,0.719424
Humboldt_2017 Q2 Court,546,Humboldt,2017 Q2 Court,295,88,56,104,1,16,168,57,68,11,Humboldt,Maggie Fleming,0,1,1,0,0,,177,31.638418,58.757062,9.039548,0.564972
Humboldt_2017 Q3 Court,547,Humboldt,2017 Q3 Court,315,75,44,88,1,15,141,52,51,11,Humboldt,Maggie Fleming,0,1,1,0,0,,148,29.72973,59.459459,10.135135,0.675676
Humboldt_2017 Q4 Court,548,Humboldt,2017 Q4 Court,313,52,40,102,1,21,160,45,45,17,Humboldt,Maggie Fleming,0,1,1,0,0,,164,24.390244,62.195122,12.804878,0.609756
Humboldt_2018 Q1 Court,549,Humboldt,2018 Q1 Court,331,70,41,82,2,18,142,50,34,10,Humboldt,Maggie Fleming,0,1,1,0,0,,143,28.671329,57.342657,12.587413,1.398601
Humboldt_2018 Q2 Court,550,Humboldt,2018 Q2 Court,399,97,51,106,4,15,129,61,41,13,Humboldt,Maggie Fleming,0,1,1,0,0,,176,28.977273,60.227273,8.522727,2.272727
Humboldt_2018 Q3 Court,551,Humboldt,2018 Q3 Court,297,95,39,102,0,10,133,74,28,10,Humboldt,Maggie Fleming,0,1,1,0,0,,151,25.827815,67.549669,6.622517,0.0
Humboldt_2018 Q4 Court,552,Humboldt,2018 Q4 Court,290,71,47,96,0,17,158,47,44,17,Humboldt,Maggie Fleming,0,1,1,0,0,,160,29.375,60.0,10.625,0.0
Humboldt_2019 Q1 Court,553,Humboldt,2019 Q1 Court,277,78,34,83,2,23,125,49,40,11,Humboldt,Maggie Fleming,0,1,1,0,0,,142,23.943662,58.450704,16.197183,1.408451
Humboldt_2019 Q2 Court,554,Humboldt,2019 Q2 Court,297,101,61,80,1,6,145,59,48,22,Humboldt,Maggie Fleming,0,1,1,0,0,,148,41.216216,54.054054,4.054054,0.675676
Humboldt_2019 Q3 Court,555,Humboldt,2019 Q3 Court,319,86,18,54,0,11,92,37,34,15,Humboldt,Maggie Fleming,0,1,1,0,1,,83,21.686747,65.060241,13.253012,0.0
Humboldt_2019 Q4 Court,556,Humboldt,2019 Q4 Court,249,47,54,162,0,11,135,46,44,33,Humboldt,Maggie Fleming,0,1,1,0,1,,227,23.788546,71.365639,4.845815,0.0
